279.982,180.126;286.896,173.445;296.566,170.696;306.144,171.251;315.749,173.294;338.111,175.574;346.254,174.265;354.128,174.773;361.899,177.048;367.564,183.242;325.053,190.061;325.134,196.024;325.488,201.925;325.875,207.399;315.26,222.206;319.298,222.771;324.288,223.43;328.305,223.236;332.028,222.602;286.384,190.19;292.915,184.312;301.587,184.001;307.906,190.377;300.947,193.35;293.222,193.651;339.245,193.677;345.097,188.726;353.471,189.122;359.514,195.394;352.795,198.486;345.354,197.634;302.312,244.694;309.718,238.779;317.062,234.878;324.674,236.157;331.244,235.796;336.867,240.246;341.395,246.342;336.09,249.924;330.179,252.43;323.366,253.195;315.656,251.628;308.492,248.613;316.403,241.495;324.186,242.134;330.887,242.229;330.771,244.282;323.576,244.933;315.457,243.655;
279.89,179.931;286.558,173.407;295.961,170.955;305.165,171.387;314.451,173.375;337.589,175.877;345.671,174.603;353.544,175.223;361.228,177.42;366.745,183.645;324.75,190.184;324.926,196.444;325.317,202.663;325.72,208.507;314.766,222.064;319.001,222.917;324.117,223.611;328.11,223.437;331.994,222.648;286.619,190.127;292.816,184.266;301.391,184.107;307.47,190.669;300.693,193.832;293.017,194.046;339.029,193.797;344.657,188.502;353.188,188.863;359.197,195.401;352.488,198.853;344.955,198.017;302.049,244.732;309.03,238.832;316.418,235.14;323.873,236.656;330.224,236.057;335.798,240.18;340.282,246.101;335.175,250.018;329.283,252.416;322.513,253.149;315.102,251.572;308.148,248.701;315.847,241.231;323.224,242.272;329.699,242.078;329.869,244.521;322.782,245.147;314.971,243.656;
279.283,180.678;286.114,174.027;295.77,171.567;305.124,171.887;314.598,173.699;338.234,176.114;345.883,174.771;353.278,175.1;360.645,177.055;366.052,182.711;324.631,190.355;325.096,196.505;325.564,202.847;326.088,208.745;314.997,222.885;319.246,223.523;324.184,224.284;328.288,224.165;332.176,223.53;286.762,190.241;293.147,184.434;301.55,184.44;307.28,190.778;300.583,194.031;292.983,194.181;338.51,193.922;344.378,188.749;352.676,189.009;358.557,195.493;351.777,198.835;344.501,198.114;302.323,244.723;309.368,239.055;316.771,235.373;324.256,236.773;330.61,236.475;335.806,240.67;340.356,246.31;334.975,249.887;329.187,252.446;322.45,253.408;314.998,251.647;308.058,248.638;316.357,241.822;323.855,243.362;329.959,242.919;329.539,244.756;322.596,245.548;314.955,244.188;
279.692,180.643;286.439,174.248;295.99,171.682;305.257,171.932;314.785,173.925;338.08,176.238;346.002,174.758;353.73,175.215;361.394,177.469;366.763,183.56;324.897,190.661;325.234,197.121;325.609,203.63;325.97,209.674;314.654,223.035;319.147,223.733;324.285,224.516;328.382,224.369;332.302,223.518;287.08,190.313;293.23,184.618;301.672,184.483;307.397,190.736;300.8,194.075;293.228,194.204;339.026,193.94;344.712,188.857;353.004,189.105;358.921,195.344;352.194,198.948;344.864,198.375;302.382,244.827;309.162,239.297;316.508,235.756;323.944,237.291;330.146,236.887;335.368,240.747;339.977,246.273;334.705,249.761;328.919,252.116;322.268,252.969;314.947,251.444;308.058,248.79;315.846,241.81;323.465,243.055;329.953,242.738;329.562,244.507;322.487,245.538;314.702,244.245;
279.828,180.638;286.572,174.006;296.146,171.478;305.443,171.677;314.795,173.491;338.38,175.881;346.093,174.537;353.611,174.998;361.152,177.072;366.362,183.083;324.571,190.636;324.741,196.55;325.03,202.645;325.407,208.354;314.449,223.031;318.83,223.76;324.019,224.481;327.952,224.263;331.765,223.331;287.257,190.334;293.382,184.507;301.826,184.465;307.604,190.727;300.983,193.902;293.484,194.077;338.412,194.191;344.045,188.912;352.484,189.265;358.621,195.704;351.841,198.912;344.473,198.282;302.06,245.01;309.227,239.653;316.686,236.183;324.19,237.402;330.569,237.041;335.878,240.903;340.266,246.471;335.116,249.974;329.34,252.357;322.698,253.282;315.195,251.904;308.066,249.03;316.332,241.84;323.825,243.12;329.786,242.711;329.52,245.085;322.833,246.072;315.142,244.749;
279.26,180.619;285.684,174.016;295.157,171.465;304.359,171.792;313.535,173.876;338.129,176.421;345.75,175.018;353.136,175.44;360.554,177.559;365.818,183.459;324.178,190.706;324.532,196.934;325.026,203.145;325.464,208.807;314.496,222.947;318.76,223.531;323.82,224.31;328.074,224.111;332.11,223.271;286.32,190.187;292.434,184.34;301.043,184.237;307.008,190.711;300.387,193.823;292.735,194.022;337.91,193.896;343.488,188.586;351.849,188.975;357.933,195.279;351.3,198.802;343.981,198.09;302.516,244.611;309.26,239.14;316.49,235.609;323.937,236.87;330.08,236.578;335.21,240.438;340.06,245.696;334.879,249.204;329.159,251.893;322.454,252.828;315.122,251.268;308.337,248.31;315.75,241.639;323.569,242.855;330.243,242.503;330.052,244.214;322.549,245.364;314.634,243.849;
279.242,180.252;285.979,173.79;295.463,171.331;304.734,171.627;314.176,173.394;337.85,175.996;345.383,174.561;352.935,175.064;360.397,177.263;365.709,183.189;324.305,190.79;324.725,196.959;325.27,203.118;325.739,208.87;314.446,222.899;318.752,223.625;323.822,224.368;327.994,224.096;331.913,223.229;286.33,190.126;292.583,184.357;301.113,184.287;307.195,190.408;300.492,193.569;292.879,193.846;338.18,193.661;343.839,188.579;352.112,188.898;358.108,195.12;351.502,198.531;344.276,197.796;301.973,244.522;308.878,238.998;316.307,235.373;323.913,236.726;330.264,236.499;335.419,240.671;340.136,246.429;334.959,250.2;329.105,252.769;322.364,253.478;314.781,251.847;307.792,248.695;315.677,241.61;323.486,242.734;329.942,242.646;329.701,244.887;322.552,245.595;314.619,244.192;
279.495,180.575;286.308,174.402;295.765,172.163;305.007,172.297;314.341,174.008;338.354,176.294;345.768,175.16;353.106,175.569;360.522,177.364;365.889,182.777;324.631,191.184;324.989,197.247;325.463,203.307;325.926,208.916;314.892,223.397;319.206,224.067;324.199,224.768;328.094,224.563;332.015,223.763;286.939,190.671;293.171,184.863;301.676,184.796;307.604,190.988;300.897,194.277;293.3,194.559;338.565,194.2;344.051,189.053;352.403,189.37;358.488,195.754;351.828,199.153;344.416,198.531;301.968,244.828;308.921,239.272;316.363,235.64;323.863,237.125;330.274,236.573;335.544,240.723;340.029,246.645;334.73,250.482;328.785,252.938;322.099,253.753;314.688,252.132;307.781,248.907;315.832,241.878;323.309,242.964;329.498,242.972;329.198,245.124;322.405,245.795;314.739,244.428;
279.528,181.383;286.517,175.032;296.153,172.494;305.599,172.79;315.615,174.179;338.034,177.36;345.368,176.28;352.633,176.362;359.981,177.824;365.631,183.048;324.786,191.361;325.23,197.396;325.842,203.299;326.529,208.797;315.139,223.42;319.359,224.084;324.324,224.734;328.348,224.526;332.226,223.874;287.131,190.791;293.287,185.04;301.597,184.814;307.293,191.186;300.902,194.358;293.41,194.688;338.329,194.738;344.03,189.619;352.283,189.811;358.09,196.147;351.581,199.706;344.234,199.08;302.155,245.486;309.196,240.168;316.65,236.243;324.18,237.6;330.588,236.784;335.901,240.988;339.946,247.008;335.283,251.251;329.641,253.758;323.17,254.429;315.457,252.949;308.266,249.774;316.267,242.143;323.662,243.11;330.082,242.98;329.911,245.559;323.164,246.289;315.556,245.014;
280.45,181.505;287.473,175.37;297.06,173.474;306.262,174.004;315.638,175.943;338.721,177.939;346.374,176.882;353.901,177.278;361.438,179.075;366.715,184.762;325.36,191.769;325.833,198.53;326.341,205.221;326.773,211.417;315.419,224.22;319.911,225.282;325.113,226.155;329.185,225.841;333.121,225.251;287.736,191.609;293.903,185.895;302.013,185.722;307.537,192.095;301.27,195.109;294.04,195.353;339.57,195.504;345.088,190.354;353.23,190.652;358.976,197.237;352.511,200.5;345.369,199.768;303.274,246.113;310.083,240.98;317.153,237.393;324.319,238.753;330.779,238.46;336.155,242.501;340.664,248.433;335.347,252.622;329.514,254.915;322.886,255.604;315.605,254.026;308.944,250.698;316.889,243.389;323.808,244.667;330.367,244.421;330.286,246.8;323.105,247.643;315.714,246.188;
